"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter","ND","FD","Feasibility","ND_L","FD_L","Feasibility_L","ND_U","FD_U","Feasibility_U","a21_a11","a22_a12","a21_a11_lower","a22_a12_lower","a21_a11_upper","a22_a12_upper","distanceTu","distanceTe","distanceTu_lower","distanceTu_upper","distanceTe_lower","distanceTe_upper"
"V16","SR2","SR4",5,"N",2.77931737441371,6.86286878709732,0.0507059160572498,0.0883705788533735,0.0924863932338583,0.149079712926486,-0.514607380121124,5.24859090094232,1,-0.394418794269696,5.39308827174794,1,-0.60843022641074,5.27024148526585,1,2.94008519160105,0.955498163172201,3.60429379628522,0.786934322262508,2.62244524980507,1.07066644951382,0.0569395657591012,0.423360335005739,0.11415157796667,0.0204881877584316,0.519282002044848,0.366492819437062
"V17","SR1","SR5",5,"N",3.32888321569602,8.00911342507472,0.0164813726288893,0.111006474134424,0.0333219781041555,0.204731534442841,-0.871234273740965,5.95697412327987,0,-1.04800253744153,10.7661128293104,0,-0.847908716527337,3.08778366087523,1,12.421995367302,3.33132906418244,-19.6407675942539,11.1093699543887,5.70199756448212,2.38806969279098,-0.31358424395917,-0.102291003670175,-2.69680869365017,0.220301807581947,-0.304141213185201,0.0026500835554178
"V18","SR2","SR5",5,"N",2.77931737441371,8.00911342507472,0.0507059160572498,0.111006474134424,-0.0217256121344222,0.172661216023985,-0.51586247669342,8.24577611942076,0,-0.334897097454323,13.6673952180967,0,-0.686554679210065,4.73466609922705,0,3.4051493287103,-5.10947509545863,4.28335671599867,-1.8430630446029,2.98517021158384,-33683.8609237864,-0.0483749584097594,-0.527288812255092,-0.104663266518425,-0.0107768331347075,-0.831141789298924,-0.334046680241858
"V19","SR1","SR4",1,"Cd",1.31518265081449,2.47317167599079,0.0132871308254671,0.050403537627921,0.0325921031535936,0.020671624988178,-2.76140119821913,2.40328028361659,0,0.20237162342861,39.5457800065161,0,-1.10739405342329,0.303389600226251,1,1.55576288513373,1.54649540075365,1839.70207789366,1.34602568735076,2.23495669279981,1.65551467985668,-0.0825298384917608,-0.0852507766977284,-0.488203453779872,0.068027393861334,-0.150212541368633,0.0546390636941824
"V20","SR2","SR4",1,"Cd",1.52145358437981,2.47317167599079,0.0367339964658026,0.050403537627921,0.0210572865879346,0.0447283706942267,-0.730973070871966,0.282294205838092,1,-0.125524552847605,1.11522911800321,1,-2.07436350316974,0.0796864061203941,1,1.21762876347708,2.39363877285126,0.398558879251059,66.556396524356,1.6288486818209,1.67827008938628,0.136066741760999,0.155774595165702,0.64002405766271,0.000909207337283734,0.536485133088289,0.0141451956148794
"V21","SR1","SR5",1,"Cd",1.31518265081449,2.93591330366473,0.0132871308254671,0.0673948670165974,0.0233894305618443,0.0596182412675514,-1.13633490067339,4.13943762886809,0,-0.822298786608935,9.35512006723925,0,-1.32273002031647,1.70268222393619,0,4.48691610330822,2.88142401921234,-3568.4805141202,4.15441151798808,3.16670707871315,2.49941473302714,-0.201872896588865,-0.0871143666299182,-2.72015315640874,-0.115284058990819,-0.184944972493113,-0.0405721459833475
"V22","SR2","SR5",1,"Cd",1.52145358437981,2.93591330366473,0.0367339964658026,0.0673948670165974,0.0279069358132433,0.040027160058995,-0.652129924684313,2.56215598704306,1,-0.173779108476907,6.57583155978269,1,-1.1273141997364,2.10238253467901,0,1.08964893314176,2.41498627680274,0.332060431111598,4.99977527750118,1.47000168196421,1.91990607015811,0.264404651316203,0.0855324196218597,0.77207345071922,-0.119243801667387,0.280714167423134,-0.00207670262492734
"V23","SR1","SR4",2,"Cd",1.10413475673831,1.31934404695239,0.00120271522234407,-0.0147434423645538,-0.00299215114329042,-0.0449321385914663,-0.8401141520278,72.5220678091446,0,-0.52812242658244,79.286323383834,0,-0.17677378156016,41.3025400711121,0,-37.358917353598,4.92737220097133,8.47959851355025,1.51647627247566,-1.81461285910225,-0.0215732320139202,-2.41800298854173,-0.496600187634866,-0.579440760119567,-1.94109063228334,-0.113857399840189,-2.24605512480267
"V24","SR1","SR5",2,"Cd",1.10413475673831,1.98309324660773,0.00120271522234407,0.0393021838164913,0.000198136514491834,0.0747095646770142,-2.15252833375905,14.2511752583773,0,-0.597253632431578,26.1174915163682,0,-1.61725046331003,9.40445454920842,0,62.1174183955256,198.359115770713,-6.85620373560268,-1.66108255257505,8.63358758777139,6.47485336939287,-0.491931943642186,-0.502987778507562,-2.48873149875929,-0.392716232984377,-1.04993039481373,-0.354796138243824
"V25","SR1","SR4",3,"Cd",1.12624682096635,2.21070419245509,0.00295382278770183,0.021424652350659,-0.0099221812586581,0.0688588750664888,-0.517983033230665,19.0966937939444,0,-0.0152802524629293,38.4510884178164,0,-1.67042889038539,9.62395665495308,0,23.3117827356404,-2.15926838989802,-11.9645157161887,0.0290888029054177,10.5608292902633,7.77236939917475,-0.428309800279425,-0.904890931518567,-2.58702570217404,-0.37677223205821,-1.07053544473833,-0.343222350860364
