Block,Rep,Box,Leaf,Disk,Env,FocalSR,CompSR,Dens,Type,Focalfemale,FocalDead,FocalDrowned,FocalMissing,NumbDeadComp,TeFemales,TuFemales,Observations
1,1,2,3,3,Cd,4,1,2,INTER,Te,0,0,0,0,11,0,NA
1,1,2,4,4,Cd,4,1,2,INTER,Te,0,0,0,0,0,10,NA
1,1,2,3,5,N,4,1,4,INTER,Te,0,0,0,1,0,3,NA
1,1,2,4,6,N,4,1,4,INTER,Te,0,0,0,1,6,0,NA
1,1,2,3,7,Cd,4,1,4,INTER,Te,0,0,0,1,1,0,NA
1,1,2,4,8,Cd,4,1,4,INTER,Te,0,0,0,1,13,2,NA
1,1,2,3,9,N,4,1,10,INTER,Te,0,0,0,0,0,11,NA
1,1,2,4,10,N,4,1,10,INTER,Te,0,0,0,0,0,2,NA
1,1,2,3,11,Cd,4,1,10,INTER,Te,1,0,0,7,0,0,NA
1,1,2,4,12,Cd,4,1,10,INTER,Te,0,0,0,3,0,0,NA
1,1,1,3,1,N,1,NA,1,INTRA,Tu,0,1,0,0,NA,3,NA
1,1,1,4,2,N,1,NA,1,INTRA,Tu,0,0,0,0,NA,0,NA
1,1,1,3,3,Cd,1,NA,1,INTRA,Tu,0,0,0,0,NA,0,NA
1,1,1,4,4,Cd,1,NA,1,INTRA,Tu,0,0,0,0,NA,1,NA
1,1,1,3,5,N,1,NA,2,INTRA,Tu,0,0,0,0,NA,4,NA
1,1,1,4,6,N,1,NA,2,INTRA,Tu,0,0,0,0,NA,10,NA
1,1,1,3,7,Cd,1,NA,2,INTRA,Tu,0,0,0,0,NA,3,NA
1,1,1,4,8,Cd,1,NA,2,INTRA,Tu,0,0,0,0,NA,3,NA
1,1,1,3,9,N,1,NA,4,INTRA,Tu,0,0,0,0,NA,0,Loads of 
1,1,1,4,10,N,1,NA,4,INTRA,Tu,0,0,0,0,NA,15,NA
1,1,1,3,11,Cd,1,NA,4,INTRA,Tu,0,2,0,0,NA,0,NA
1,1,1,4,12,Cd,1,NA,4,INTRA,Tu,1,0,0,0,NA,0,NA
1,1,1,3,13,N,1,NA,10,INTRA,Tu,1,0,1,0,NA,0,loads of dead juvn
1,1,1,4,14,N,1,NA,10,INTRA,Tu,0,0,0,0,NA,11,NA
1,1,1,3,15,Cd,1,NA,10,INTRA,Tu,0,0,2,0,NA,0,NA
1,1,1,4,16,Cd,1,NA,10,INTRA,Tu,0,1,0,0,NA,11,NA
1,1,2,3,1,N,1,NA,1,INTRA,Tu,0,0,0,0,NA,0,NA
1,1,2,4,2,N,1,NA,1,INTRA,Tu,0,0,0,0,NA,4,NA
1,1,2,3,3,Cd,1,NA,1,INTRA,Tu,0,0,0,0,NA,1,NA
1,1,2,4,4,Cd,1,NA,1,INTRA,Tu,0,0,0,0,NA,1,NA
1,1,2,3,5,N,1,NA,2,INTRA,Tu,0,1,0,0,NA,1,NA
1,1,2,4,6,N,1,NA,2,INTRA,Tu,0,0,0,0,NA,0,NA
1,1,2,3,7,Cd,1,NA,2,INTRA,Tu,1,0,0,0,NA,0,NA
1,1,2,4,8,Cd,1,NA,2,INTRA,Tu,0,0,0,0,NA,4,NA
1,1,2,3,9,N,1,NA,4,INTRA,Tu,0,0,0,0,NA,4,NA
1,1,2,4,10,N,1,NA,4,INTRA,Tu,0,0,0,0,NA,4,NA
1,1,2,3,11,Cd,1,NA,4,INTRA,Tu,0,1,0,0,NA,0,NA
1,1,2,4,12,Cd,1,NA,4,INTRA,Tu,0,1,0,0,NA,7,NA
1,1,2,3,13,N,1,NA,10,INTRA,Tu,0,0,1,0,NA,8,NA
1,1,2,4,14,N,1,NA,10,INTRA,Tu,0,0,0,0,NA,9,NA
1,1,2,3,15,Cd,1,NA,10,INTRA,Tu,2,2,0,0,NA,0,NA
1,1,2,4,16,Cd,1,NA,10,INTRA,Tu,0,0,0,0,NA,0,NA
1,1,1,3,1,N,2,NA,1,INTRA,Tu,0,0,0,0,NA,4,NA
1,1,1,4,2,N,2,NA,1,INTRA,Tu,0,1,0,0,NA,2,NA
1,1,1,3,3,Cd,2,NA,1,INTRA,Tu,0,0,0,0,NA,2,NA
1,1,1,4,4,Cd,2,NA,1,INTRA,Tu,0,0,0,0,NA,0,NA
1,1,1,3,5,N,2,NA,2,INTRA,Tu,0,0,1,0,NA,2,NA
1,1,1,4,6,N,2,NA,2,INTRA,Tu,0,0,1,0,NA,0,NA
1,1,1,3,7,Cd,2,NA,2,INTRA,Tu,1,0,0,0,NA,3,NA
1,1,1,4,8,Cd,2,NA,2,INTRA,Tu,0,0,0,0,NA,5,NA
1,1,1,3,9,N,2,NA,4,INTRA,Tu,0,0,0,0,NA,3,NA
1,1,1,4,10,N,2,NA,4,INTRA,Tu,1,0,0,0,NA,10,NA
1,1,1,3,11,Cd,2,NA,4,INTRA,Tu,0,0,2,0,NA,4,NA
1,1,1,4,12,Cd,2,NA,4,INTRA,Tu,0,0,0,0,NA,5,NA
1,1,1,3,13,N,2,NA,10,INTRA,Tu,1,0,0,0,NA,10,NA
1,1,1,4,14,N,2,NA,10,INTRA,Tu,0,0,0,0,NA,10,NA
1,1,1,3,15,Cd,2,NA,10,INTRA,Tu,2,2,0,0,NA,0,NA
1,1,1,4,16,Cd,2,NA,10,INTRA,Tu,3,0,0,0,NA,1,NA
1,1,2,3,1,N,2,NA,1,INTRA,Tu,1,0,0,0,NA,2,NA
1,1,2,4,2,N,2,NA,1,INTRA,Tu,0,1,0,0,NA,6,NA
1,1,2,3,3,Cd,2,NA,1,INTRA,Tu,0,0,0,0,NA,0,NA
1,1,2,4,4,Cd,2,NA,1,INTRA,Tu,0,0,0,0,NA,6,NA
1,1,2,3,5,N,2,NA,2,INTRA,Tu,0,0,0,0,NA,2,NA
1,1,2,4,6,N,2,NA,2,INTRA,Tu,0,0,0,0,NA,5,NA
1,1,2,3,7,Cd,2,NA,2,INTRA,Tu,0,0,0,0,NA,3,NA
1,1,2,4,8,Cd,2,NA,2,INTRA,Tu,0,0,0,0,NA,0,NA
1,1,2,3,9,N,2,NA,4,INTRA,Tu,0,0,0,0,NA,8,NA
1,1,2,4,10,N,2,NA,4,INTRA,Tu,0,1,0,0,NA,5,NA
1,1,2,3,11,Cd,2,NA,4,INTRA,Tu,0,0,0,0,NA,0,NA
1,1,2,4,12,Cd,2,NA,4,INTRA,Tu,2,0,0,0,NA,0,NA
1,1,2,3,13,N,2,NA,10,INTRA,Tu,NA,NA,NA,NA,NA,NA,Funghi + 1 det mite
1,1,2,4,14,N,2,NA,10,INTRA,Tu,1,0,1,0,NA,7,NA
1,1,2,3,15,Cd,2,NA,10,INTRA,Tu,1,1,1,0,NA,0,NA
